,Number of trajectories,AUROC,AUPR,state estimator
2,3,0.9075555555555554,0.5084873929207142,exact update
3,4,0.9329777777777777,0.6987725032873479,exact update
4,5,0.9472888888888888,0.6760810117671822,exact update
5,6,0.9692000000000001,0.7822994925021118,exact update
6,7,0.9717777777777777,0.8246773247648576,exact update
7,8,0.9845333333333334,0.8813624268818692,exact update
8,9,0.9851111111111112,0.8925675974708881,exact update
9,10,0.9888888888888888,0.8981919451385634,exact update
10,11,0.9864888888888889,0.8943983259899438,exact update
11,12,0.9832,0.8665039462692166,exact update
12,13,0.9928444444444445,0.9501929832949105,exact update
13,14,0.9896444444444444,0.908819628590452,exact update
14,15,0.9886666666666667,0.9079640423832817,exact update
15,16,0.9955555555555555,0.9628831264021496,exact update
16,17,0.9932444444444445,0.9365156347752466,exact update
17,18,0.9927111111111111,0.9325629031044327,exact update
18,19,0.9946666666666666,0.9569256529235184,exact update
19,20,0.9944888888888889,0.9555859623177319,exact update
20,21,0.9979111111111111,0.9835805856727229,exact update
21,22,0.9958222222222222,0.96000492439219,exact update
22,23,0.9977777777777778,0.9863311841091709,exact update
23,24,0.9995555555555555,0.9963137145872996,exact update
24,25,0.9995555555555556,0.996228620448634,exact update
