,X,Y,Z,W,Q,T,time,experiment
53,0.0,0.0,0.0,0.0,1.0,1.0,23.363893784191777,3
54,0.0,0.0,0.0,1.0,1.0,1.0,23.49136312072827,3
55,1.0,0.0,0.0,1.0,1.0,1.0,23.909223770107385,3
56,1.0,1.0,0.0,1.0,1.0,1.0,24.164682590495264,3
57,1.0,1.0,0.0,1.0,1.0,0.0,24.26831004807769,3
58,1.0,1.0,0.0,1.0,0.0,0.0,24.35573307346084,3
59,1.0,1.0,0.0,1.0,1.0,0.0,25.00151465793198,3
60,1.0,1.0,0.0,1.0,0.0,0.0,25.60348450895268,3
61,0.0,1.0,0.0,1.0,0.0,0.0,27.46253587073431,3
62,1.0,1.0,0.0,1.0,0.0,0.0,27.837670188742333,3
63,1.0,1.0,0.0,1.0,1.0,0.0,28.497762500426635,3
64,0.0,1.0,0.0,1.0,1.0,0.0,28.73635607106759,3
65,0.0,1.0,1.0,1.0,1.0,0.0,29.260071875660433,3
66,0.0,1.0,1.0,1.0,1.0,1.0,30.160149285023234,3
67,0.0,1.0,1.0,1.0,0.0,1.0,30.616209208853313,3
68,0.0,1.0,1.0,1.0,0.0,0.0,31.33491858404086,3
69,0.0,1.0,1.0,0.0,0.0,0.0,31.81277573183287,3
70,0.0,1.0,0.0,0.0,0.0,0.0,32.446526218165694,3
71,1.0,1.0,0.0,0.0,0.0,0.0,32.59074594898577,3
72,1.0,0.0,0.0,0.0,0.0,0.0,33.07336012906611,3
73,1.0,1.0,0.0,0.0,0.0,0.0,33.08782924465874,3
74,1.0,1.0,0.0,0.0,0.0,1.0,33.57031658535781,3
75,1.0,1.0,0.0,1.0,0.0,1.0,34.55427145383779,3
76,1.0,1.0,0.0,0.0,0.0,1.0,34.83465934971084,3
77,1.0,1.0,0.0,0.0,1.0,1.0,35.12885907370688,3
78,1.0,1.0,0.0,0.0,1.0,0.0,35.35306682348374,3
79,1.0,1.0,0.0,0.0,1.0,1.0,35.47929069978039,3
80,1.0,1.0,1.0,0.0,1.0,1.0,35.73382886676235,3
81,1.0,1.0,1.0,0.0,0.0,1.0,35.89616545170805,3
82,1.0,1.0,0.0,0.0,0.0,1.0,36.069777718562854,3
83,1.0,1.0,0.0,0.0,0.0,0.0,36.24346534402285,3
84,1.0,1.0,0.0,0.0,0.0,1.0,36.33987253568209,3
85,1.0,1.0,1.0,0.0,0.0,1.0,36.403457948205855,3
86,0.0,1.0,1.0,0.0,0.0,1.0,36.54059457985162,3
87,0.0,1.0,0.0,0.0,0.0,1.0,36.7255682026276,3
